"","WordForm","LemmaCase","Frequency"
"93","čamcima","čamac_dat_Pl",1
"94","čamce","čamac_acc_Pl",4
"95","čamcima","čamac_ins_Pl",3
"96","čamcima","čamac_loc_Pl",2
"97","čežnja","čežnja_nom_Sg",118
"98","čežnje","čežnja_gen_Sg",77
"99","čežnji","čežnja_dat_Sg",5
"100","čežnju","čežnja_acc_Sg",40
"101","čežnjom","čežnja_ins_Sg",43
"102","čežnji","čežnja_loc_Sg",16
"103","čežnje","čežnja_nom_Pl",52
"104","čežnja","čežnja_gen_Pl",18
"105","čežnjama","čežnja_dat_Pl",1
"106","čežnje","čežnja_acc_Pl",30
"107","čežnjama","čežnja_ins_Pl",4
"108","čežnjama","čežnja_loc_Pl",3
"109","čelo","čelo_nom_Sg",69
"110","čela","čelo_gen_Sg",148
"111","čelu","čelo_dat_Sg",4
"112","čelo","čelo_acc_Sg",159
"113","čelom","čelo_ins_Sg",75
"114","čelu","čelo_loc_Sg",158
"115","čela","čelo_nom_Pl",10
"116","čela","čelo_gen_Pl",1
"117","čelima","čelo_dat_Pl",1
"118","čela","čelo_acc_Pl",19
"119","čelima","čelo_ins_Pl",2
"120","čelima","čelo_loc_Pl",2
"121","činjenica","činjenica_nom_Sg",74
"122","činjenice","činjenica_gen_Sg",11
"123","činjenici","činjenica_dat_Sg",2
"124","činjenicu","činjenica_acc_Sg",24
"125","činjenicom","činjenica_ins_Sg",5
"126","činjenici","činjenica_loc_Sg",9
"127","činjenice","činjenica_nom_Pl",19
"128","činjenica","činjenica_gen_Pl",15
"129","činjenicama","činjenica_dat_Pl",1
"130","činjenice","činjenica_acc_Pl",10
"131","činjenicama","činjenica_ins_Pl",7
"132","činjenicama","činjenica_loc_Pl",3
"133","član","član_nom_Sg",239
"134","člana","član_gen_Sg",96
"135","članu","član_dat_Sg",15
"136","člana","član_acc_Sg",12
"137","članom","član_ins_Sg",11
"138","članu","član_loc_Sg",25
"139","članovi","član_nom_Pl",248
"140","članova","član_gen_Pl",265
"141","članovima","član_dat_Pl",36
"142","članove","član_acc_Pl",81
"143","članovima","član_ins_Pl",30
"144","članovima","član_loc_Pl",4
"145","čovek","čovek_nom_Sg",968
"146","čoveka","čovek_gen_Sg",359
"147","čoveku","čovek_dat_Sg",109
"148","čoveka","čovek_acc_Sg",206
"149","čovekom","čovek_ins_Sg",36
"150","čoveku","čovek_loc_Sg",53
"151","ljudi","čovek_nom_Pl",975
"152","ljudi","čovek_gen_Pl",525
"153","ljudiima","čovek_dat_Pl",124
"154","ljude","čovek_acc_Pl",403
"155","ljudima","čovek_ins_Pl",71
"156","ljudima","čovek_loc_Pl",26
"157","akademija","akademija_nom_Sg",30
"158","akademije","akademija_gen_Sg",43
"159","akademiji","akademija_dat_Sg",2
"160","akademiju","akademija_acc_Sg",15
"161","akademijom","akademija_ins_Sg",10
"162","akademiji","akademija_loc_Sg",7
"163","akademije","akademija_nom_Pl",2
"164","akademija","akademija_gen_Pl",9
"165","akademijama","akademija_dat_Pl",1
"166","akademije","akademija_acc_Pl",2
"167","akademijama","akademija_ins_Pl",1
"168","akademijama","akademija_loc_Pl",1
"169","aparat","aparat_nom_Sg",24
"170","aparata","aparat_gen_Sg",26
"171","aparatu","aparat_dat_Sg",2
"172","aparat","aparat_acc_Sg",27
"173","aparatom","aparat_ins_Sg",9
"174","aparatu","aparat_loc_Sg",12
"175","aparati","aparat_nom_Pl",3
"176","aparata","aparat_gen_Pl",24
"177","aparatima","aparat_dat_Pl",1
"178","aparate","aparat_acc_Pl",12
"179","aparatima","aparat_ins_Pl",2
"180","aparatima","aparat_loc_Pl",2
"181","bitka","bitka_nom_Sg",39
"182","bitke","bitka_gen_Sg",39
"183","bici","bitka_dat_Sg",2
"184","bitku","bitka_acc_Sg",24
"185","bitkom","bitka_ins_Sg",6
"186","bici","bitka_loc_Sg",27
"187","bitke","bitka_nom_Pl",19
"188","bitaka","bitka_gen_Pl",16
"189","bitkama","bitka_dat_Pl",1
"190","bitke","bitka_acc_Pl",26
"191","bitkama","bitka_ins_Pl",2
"192","bitkama","bitka_loc_Pl",10
"193","bog","bog_nom_Sg",152
"194","boga","bog_gen_Sg",57
"195","bogu","bog_dat_Sg",58
"196","boga","bog_acc_Sg",78
"197","bogom","bog_ins_Sg",13
"198","bogu","bog_loc_Sg",12
"199","bogovi","bog_nom_Pl",28
"200","bogova","bog_gen_Pl",14
"201","bogovima","bog_dat_Pl",4
"202","bogove","bog_acc_Pl",7
"203","bogovima","bog_ins_Pl",4
"204","bogovima","bog_loc_Pl",1
"205","boja","boja_nom_Sg",53
"206","boje","boja_gen_Sg",102
"207","boji","boja_dat_Sg",1
"208","boju","boja_acc_Sg",91
"209","bojom","boja_ins_Sg",34
"210","boji","boja_loc_Sg",144
"211","boje","boja_nom_Pl",100
"212","boja","boja_gen_Pl",139
"213","bojama","boja_dat_Pl",6
"214","boje","boja_acc_Pl",89
"215","bojama","boja_ins_Pl",24
"216","bojama","boja_loc_Pl",25
"217","bol","bol_nom_Sg",361
"218","bola","bol_gen_Sg",419
"219","bolu","bol_dat_Sg",29
"220","bol","bol_acc_Sg",229
"221","bolom","bol_ins_Sg",124
"222","bolu","bol_loc_Sg",66
"223","boli","bol_nom_Pl",51
"224","bolova","bol_gen_Pl",35
"225","bolima","bol_dat_Pl",2
"226","bolove","bol_acc_Pl",65
"227","bolima","bol_ins_Pl",7
"228","bolima","bol_loc_Pl",3
"229","bor","bor_nom_Sg",61
"230","bora","bor_gen_Sg",37
"231","boru","bor_dat_Sg",2
"232","bor","bor_acc_Sg",9
"233","borom","bor_ins_Sg",8
"234","boru","bor_loc_Sg",3
"235","borovi","bor_nom_Pl",39
"236","borova","bor_gen_Pl",37
"237","borovima","bor_dat_Pl",1
"238","borove","bor_acc_Pl",11
"239","borovima","bor_ins_Pl",6
"240","borovima","bor_loc_Pl",2
"241","borac","borac_nom_Sg",85
"242","borca","borac_gen_Sg",33
"243","borcu","borac_dat_Sg",14
"244","borca","borac_acc_Sg",15
"245","borcem","borac_ins_Sg",2
"246","borcu","borac_loc_Sg",4
"247","borci","borac_nom_Pl",105
"248","boraca","borac_gen_Pl",81
"249","borcima","borac_dat_Pl",26
"250","borce","borac_acc_Pl",25
"251","borcima","borac_ins_Pl",6
"252","borcima","borac_loc_Pl",4
"253","brazda","brazda_nom_Sg",14
"254","brazde","brazda_gen_Sg",6
"255","brazdi","brazda_dat_Sg",3
"256","brazdu","brazda_acc_Sg",18
"257","brazdom","brazda_ins_Sg",15
"258","brazdi","brazda_loc_Sg",7
"259","brazde","brazda_nom_Pl",31
"260","brazda","brazda_gen_Pl",8
"261","brazdama","brazda_dat_Pl",1
"262","brazde","brazda_acc_Pl",49
"263","brazdama","brazda_ins_Pl",8
"264","brazdama","brazda_loc_Pl",4
"265","brdo","brdo_nom_Sg",34
"266","brda","brdo_gen_Sg",81
"267","brdu","brdo_dat_Sg",7
"268","brdo","brdo_acc_Sg",33
"269","brdom","brdo_ins_Sg",19
"270","brdu","brdo_loc_Sg",29
"271","brda","brdo_nom_Pl",63
"272","brda","brdo_gen_Pl",63
"273","brdima","brdo_dat_Pl",5
"274","brda","brdo_acc_Pl",72
"275","brdima","brdo_ins_Pl",26
"276","brdima","brdo_loc_Pl",30
"277","brid","brid_nom_Sg",4
"278","brida","brid_gen_Sg",4
"279","bridu","brid_dat_Sg",1
"280","brid","brid_acc_Sg",4
"281","bridom","brid_ins_Sg",3
"282","bridu","brid_loc_Sg",5
"283","bridovi","brid_nom_Pl",4
"284","bridova","brid_gen_Pl",2
"285","bridovima","brid_dat_Pl",1
"286","bridove","brid_acc_Pl",2
"287","bridovima","brid_ins_Pl",2
"288","bridovima","brid_loc_Pl",1
"289","briga","briga_nom_Sg",50
"290","brige","briga_gen_Sg",28
"291","brizi","briga_dat_Sg",5
"292","brigu","briga_acc_Sg",44
"293","brigom","briga_ins_Sg",13
"294","brizi","briga_loc_Sg",10
"295","brige","briga_nom_Pl",21
"296","briga","briga_gen_Pl",51
"297","brigama","briga_dat_Pl",1
"298","brige","briga_acc_Pl",30
"299","brigama","briga_ins_Pl",7
"300","brigama","briga_loc_Pl",3
"301","brigada","brigada_nom_Sg",83
"302","brigade","brigada_gen_Sg",67
"303","brigadi","brigada_dat_Sg",14
"304","brigadu","brigada_acc_Sg",28
"305","brigadom","brigada_ins_Sg",11
"306","brigadi","brigada_loc_Sg",13
"307","brigade","brigada_nom_Pl",57
"308","brigada","brigada_gen_Pl",74
"309","brigadama","brigada_dat_Pl",1
"310","brigade","brigada_acc_Pl",15
"311","brigadama","brigada_ins_Pl",4
"312","brigadama","brigada_loc_Pl",4
"313","brod","brod_nom_Sg",106
"314","broda","brod_gen_Sg",79
"315","brodu","brod_dat_Sg",6
"316","brod","brod_acc_Sg",35
"317","brodom","brod_ins_Sg",35
"318","brodu","brod_loc_Sg",38
"319","brodovi","brod_nom_Pl",89
"320","brodova","brod_gen_Pl",51
"321","brodovima","brod_dat_Pl",6
"322","brodove","brod_acc_Pl",40
"323","brodovima","brod_ins_Pl",14
"324","brodovima","brod_loc_Pl",3
"325","bura","bura_nom_Sg",83
"326","bure","bura_gen_Sg",51
"327","buri","bura_dat_Sg",11
"328","buru","bura_acc_Sg",30
"329","burom","bura_ins_Sg",26
"330","buri","bura_loc_Sg",38
"331","bure","bura_nom_Pl",39
"332","bura","bura_gen_Pl",20
"333","burama","bura_dat_Pl",6
"334","bure","bura_acc_Pl",27
"335","burama","bura_ins_Pl",5
"336","burama","bura_loc_Pl",2
"337","cena","cena_nom_Sg",184
"338","cene","cena_gen_Sg",43
"339","ceni","cena_dat_Sg",1
"340","cenu","cena_acc_Sg",87
"341","cenom","cena_ins_Sg",7
"342","ceni","cena_loc_Sg",55
"343","cene","cena_nom_Pl",104
"344","cena","cena_gen_Pl",85
"345","cenama","cena_dat_Pl",1
"346","cene","cena_acc_Pl",34
"347","cenama","cena_ins_Pl",6
"348","cenama","cena_loc_Pl",62
"349","cesta","cesta_nom_Sg",56
"350","ceste","cesta_gen_Sg",50
"351","cesti","cesta_dat_Sg",2
"352","cestu","cesta_acc_Sg",23
"353","cestom","cesta_ins_Sg",40
"354","cesti","cesta_loc_Sg",76
"355","ceste","cesta_nom_Pl",47
"356","cesta","cesta_gen_Pl",25
"357","cestama","cesta_dat_Pl",3
"358","ceste","cesta_acc_Pl",36
"359","cestama","cesta_ins_Pl",9
"360","cestama","cesta_loc_Pl",14
"361","cilj","cilj_nom_Sg",72
"362","cilja","cilj_gen_Sg",55
"363","cilju","cilj_dat_Sg",30
"364","cilj","cilj_acc_Sg",70
"365","ciljem","cilj_ins_Sg",25
"366","cilju","cilj_loc_Sg",112
"367","ciljevi","cilj_nom_Pl",15
"368","ciljeva","cilj_gen_Pl",11
"369","ciljevima","cilj_dat_Pl",10
"370","ciljeve","cilj_acc_Pl",18
"371","ciljevima","cilj_ins_Pl",4
"372","ciljevima","cilj_loc_Pl",6
"373","dan","dan_nom_Sg",860
"374","dana","dan_gen_Sg",1615
"375","danu","dan_dat_Sg",72
"376","dan","dan_acc_Sg",814
"377","danom","dan_ins_Sg",96
"378","danu","dan_loc_Sg",116
"379","dani","dan_nom_Pl",547
"380","dana","dan_gen_Pl",853
"381","danima","dan_dat_Pl",12
"382","dane","dan_acc_Pl",573
"383","danima","dan_ins_Pl",65
"384","danima","dan_loc_Pl",75
"385","daljina","daljina_nom_Sg",50
"386","daljine","daljina_gen_Sg",116
"387","daljini","daljina_dat_Sg",6
"388","daljinu","daljina_acc_Sg",59
"389","daljinom","daljina_ins_Sg",20
"390","daljini","daljina_loc_Sg",128
"391","daljine","daljina_nom_Pl",61
"392","daljina","daljina_gen_Pl",83
"393","daljinama","daljina_dat_Pl",9
"394","daljine","daljina_acc_Pl",112
"395","daljinama","daljina_ins_Pl",13
"396","daljinama","daljina_loc_Pl",15
"397","delo","delo_nom_Sg",87
"398","dela","delo_gen_Sg",66
"399","delu","delo_dat_Sg",13
"400","delo","delo_acc_Sg",68
"401","delom","delo_ins_Sg",29
"402","delu","delo_loc_Sg",74
"403","dela","delo_nom_Pl",64
"404","dela","delo_gen_Pl",60
"405","delima","delo_dat_Pl",4
"406","dela","delo_acc_Pl",71
"407","delima","delo_ins_Pl",6
"408","delima","delo_loc_Pl",10
"409","deo","deo_nom_Sg",289
"410","dela","deo_gen_Sg",85
"411","delu","deo_dat_Sg",6
"412","deo","deo_acc_Sg",146
"413","delom","deo_ins_Sg",41
"414","delu","deo_loc_Sg",144
"415","delovi","deo_nom_Pl",28
"416","delova","deo_gen_Pl",37
"417","delovima","deo_dat_Pl",2
"418","delove","deo_acc_Pl",31
"419","delovima","deo_ins_Pl",13
"420","delovima","deo_loc_Pl",26
"421","devojka","devojka_nom_Sg",467
"422","devojke","devojka_gen_Sg",120
"423","devojci","devojka_dat_Sg",47
"424","devojku","devojka_acc_Sg",122
"425","devojkom","devojka_ins_Sg",30
"426","devojci","devojka_loc_Sg",13
"427","djevojke","devojka_nom_Pl",67
"428","djevojaka","devojka_gen_Pl",66
"429","djevojkama","devojka_dat_Pl",15
"430","devojke","devojka_acc_Pl",45
"431","devojkama","devojka_ins_Pl",7
"432","djevojkama","devojka_loc_Pl",4
"433","dobro","dobro_nom_Sg",28
"434","dobra","dobro_gen_Sg",39
"435","dobru","dobro_dat_Sg",6
"436","dobro","dobro_acc_Sg",31
"437","dobrom","dobro_ins_Sg",1
"438","dobru","dobro_loc_Sg",10
"439","dobra","dobro_nom_Pl",11
"440","dobara","dobro_gen_Pl",21
"441","dobrima","dobro_dat_Pl",1
"442","dobra","dobro_acc_Pl",5
"443","dobrima","dobro_ins_Pl",3
"444","dobrima","dobro_loc_Pl",10
"445","događaj","događaj_nom_Sg",30
"446","događaja","događaj_gen_Sg",8
"447","događaju","događaj_dat_Sg",2
"448","događaj","događaj_acc_Sg",10
"449","događajem","događaj_ins_Sg",3
"450","događaju","događaj_loc_Sg",3
"451","događaji","događaj_nom_Pl",38
"452","događaja","događaj_gen_Pl",52
"453","događajima","događaj_dat_Pl",1
"454","događaje","događaj_acc_Pl",27
"455","događajima","događaj_ins_Pl",7
"456","događajima","događaj_loc_Pl",6
"457","dolina","dolina_nom_Sg",30
"458","doline","dolina_gen_Sg",27
"459","dolini","dolina_dat_Sg",4
"460","dolinu","dolina_acc_Sg",31
"461","dolinom","dolina_ins_Sg",26
"462","dolini","dolina_loc_Sg",67
"463","doline","dolina_nom_Pl",15
"464","dolina","dolina_gen_Pl",25
"465","dolinama","dolina_dat_Pl",2
"466","doline","dolina_acc_Pl",34
"467","dolinama","dolina_ins_Pl",8
"468","dolinama","dolina_loc_Pl",12
"469","dom","dom_nom_Sg",156
"470","doma","dom_gen_Sg",220
"471","domu","dom_dat_Sg",29
"472","dom","dom_acc_Sg",128
"473","domom","dom_ins_Sg",21
"474","domu","dom_loc_Sg",139
"475","domovi","dom_nom_Pl",20
"476","domova","dom_gen_Pl",54
"477","domovima","dom_dat_Pl",4
"478","domove","dom_acc_Pl",30
"479","domovima","dom_ins_Pl",2
"480","domovima","dom_loc_Pl",16
"481","država","država_nom_Sg",55
"482","države","država_gen_Sg",167
"483","državi","država_dat_Sg",18
"484","državu","država_acc_Sg",18
"485","državom","država_ins_Sg",1
"486","državi","država_loc_Sg",21
"487","države","država_nom_Pl",29
"488","država","država_gen_Pl",87
"489","državama","država_dat_Pl",3
"490","države","država_acc_Pl",17
"491","državama","država_ins_Pl",13
"492","državama","država_loc_Pl",18
"493","društvo","društvo_nom_Sg",138
"494","društva","društvo_gen_Sg",149
"495","društvu","društvo_dat_Sg",13
"496","društvo","društvo_acc_Sg",26
"497","društvom","društvo_ins_Sg",9
"498","društvu","društvo_loc_Sg",57
"499","društva","društvo_nom_Pl",45
"500","društava","društvo_gen_Pl",76
"501","društvima","društvo_dat_Pl",6
"502","društva","društvo_acc_Pl",6
"503","društvima","društvo_ins_Pl",4
"504","društvima","društvo_loc_Pl",6
"505","drug","drug_nom_Sg",372
"506","druga","drug_gen_Sg",201
"507","drugu","drug_dat_Sg",131
"508","druga","drug_acc_Sg",150
"509","drugom","drug_ins_Sg",66
"510","drugu","drug_loc_Sg",9
"511","drugovi","drug_nom_Pl",136
"512","drugova","drug_gen_Pl",87
"513","drugovima","drug_dat_Pl",36
"514","drugove","drug_acc_Pl",60
"515","drugovima","drug_ins_Pl",20
"516","drugovima","drug_loc_Pl",5
"517","drum","drum_nom_Sg",38
"518","druma","drum_gen_Sg",93
"519","drumu","drum_dat_Sg",5
"520","drum","drum_acc_Sg",39
"521","drumom","drum_ins_Sg",101
"522","drumu","drum_loc_Sg",83
"523","drumovi","drum_nom_Pl",45
"524","drumova","drum_gen_Pl",29
"525","drumovima","drum_dat_Pl",2
"526","drumove","drum_acc_Pl",34
"527","drumovima","drum_ins_Pl",30
"528","drumovima","drum_loc_Pl",31
"529","duša","duša_nom_Sg",387
"530","duše","duša_gen_Sg",284
"531","duši","duša_dat_Sg",39
"532","dušu","duša_acc_Sg",351
"533","dušom","duša_ins_Sg",119
"534","duši","duša_loc_Sg",238
"535","duše","duša_nom_Pl",77
"536","duša","duša_gen_Pl",48
"537","dušama","duša_dat_Pl",5
"538","duše","duša_acc_Pl",60
"539","dušama","duša_ins_Pl",4
"540","dušama","duša_loc_Pl",10
"541","dubina","dubina_nom_Sg",20
"542","dubine","dubina_gen_Sg",56
"543","dubini","dubina_dat_Sg",4
"544","dubinu","dubina_acc_Sg",54
"545","dubinom","dubina_ins_Sg",19
"546","dubini","dubina_loc_Sg",71
"547","dubine","dubina_nom_Pl",11
"548","dubina","dubina_gen_Pl",76
"549","dubinama","dubina_dat_Pl",2
"550","dubine","dubina_acc_Pl",56
"551","dubinama","dubina_ins_Pl",12
"552","dubinama","dubina_loc_Pl",27
"553","ekipa","ekipa_nom_Sg",84
"554","ekipe","ekipa_gen_Sg",33
"555","ekipi","ekipa_dat_Sg",4
"556","ekipu","ekipa_acc_Sg",26
"557","ekipom","ekipa_ins_Sg",10
"558","ekipi","ekipa_loc_Sg",14
"559","ekipe","ekipa_nom_Pl",34
"560","ekipa","ekipa_gen_Pl",38
"561","ekipama","ekipa_dat_Pl",2
"562","ekipe","ekipa_acc_Pl",5
"563","ekipama","ekipa_ins_Pl",3
"564","ekipama","ekipa_loc_Pl",1
"565","fabrika","fabrika_nom_Sg",91
"566","fabrike","fabrika_gen_Sg",87
"567","fabrici","fabrika_dat_Sg",10
"568","fabriku","fabrika_acc_Sg",24
"569","fabrikom","fabrika_ins_Sg",7
"570","fabrici","fabrika_loc_Sg",55
"571","fabrike","fabrika_nom_Pl",40
"572","fabrika","fabrika_gen_Pl",51
"573","fabrikama","fabrika_dat_Pl",2
"574","fabrike","fabrika_acc_Pl",21
"575","fabrikama","fabrika_ins_Pl",3
"576","fabrikama","fabrika_loc_Pl",33
"577","fenjer","fenjer_nom_Sg",14
"578","fenjera","fenjer_gen_Sg",8
"579","fenjeru","fenjer_dat_Sg",2
"580","fenjer","fenjer_acc_Sg",7
"581","fenjerom","fenjer_ins_Sg",7
"582","fenjeru","fenjer_loc_Sg",1
"583","fenjeri","fenjer_nom_Pl",12
"584","fenjera","fenjer_gen_Pl",6
"585","fenjerima","fenjer_dat_Pl",1
"586","fenjere","fenjer_acc_Pl",6
"587","fenjerima","fenjer_ins_Pl",2
"588","fenjerima","fenjer_loc_Pl",1
"589","fond","fond_nom_Sg",26
"590","fonda","fond_gen_Sg",73
"591","fondu","fond_dat_Sg",3
"592","fond","fond_acc_Sg",19
"593","fondom","fond_ins_Sg",1
"594","fondu","fond_loc_Sg",3
"595","fondovi","fond_nom_Pl",11
"596","fondova","fond_gen_Pl",26
"597","fondovima","fond_dat_Pl",2
"598","fondove","fond_acc_Pl",13
"599","fondovima","fond_ins_Pl",2
"600","fondovima","fond_loc_Pl",1
"601","glas","glas_nom_Sg",467
"602","glasa","glas_gen_Sg",228
"603","glasu","glas_dat_Sg",16
"604","glas","glas_acc_Sg",283
"605","glasom","glas_ins_Sg",163
"606","glasu","glas_loc_Sg",41
"607","glasovi","glas_nom_Pl",116
"608","glasova","glas_gen_Pl",106
"609","glasovima","glas_dat_Pl",1
"610","glasove","glas_acc_Pl",83
"611","glasovima","glas_ins_Pl",5
"612","glasovima","glas_loc_Pl",3
"613","glava","glava_nom_Sg",185
"614","glave","glava_gen_Sg",221
"615","glavi","glava_dat_Sg",7
"616","glavu","glava_acc_Sg",369
"617","glavom","glava_ins_Sg",211
"618","glavi","glava_loc_Sg",135
"619","glave","glava_nom_Pl",52
"620","glava","glava_gen_Pl",49
"621","glavama","glava_dat_Pl",1
"622","glave","glava_acc_Pl",102
"623","glavama","glava_ins_Pl",21
"624","glavama","glava_loc_Pl",8
"625","gnezdo","gnezdo_nom_Sg",31
"626","gnezda","gnezdo_gen_Sg",37
"627","gn'jezdu","gnezdo_dat_Sg",6
"628","gnezdo","gnezdo_acc_Sg",66
"629","gnezdom","gnezdo_ins_Sg",9
"630","gnezdu","gnezdo_loc_Sg",35
"631","gnezda","gnezdo_nom_Pl",25
"632","gnezda","gnezdo_gen_Pl",25
"633","gnezdima","gnezdo_dat_Pl",1
"634","gnezda","gnezdo_acc_Pl",55
"635","gnezdima","gnezdo_ins_Pl",1
"636","gnezdima","gnezdo_loc_Pl",9
"637","godina","godina_nom_Sg",116
"638","godine","godina_gen_Sg",1900
"639","godini","godina_dat_Sg",2
"640","godinu","godina_acc_Sg",242
"641","godinom","godina_ins_Sg",9
"642","godini","godina_loc_Sg",246
"643","godine","godina_nom_Pl",224
"644","godina","godina_gen_Pl",827
"645","godinama","godina_dat_Pl",2
"646","godine","godina_acc_Pl",142
"647","godinama","godina_ins_Pl",84
"648","godinama","godina_loc_Pl",25
"649","golub","golub_nom_Sg",57
"650","goluba","golub_gen_Sg",12
"651","golubu","golub_dat_Sg",9
"652","goluba","golub_acc_Sg",12
"653","golubom","golub_ins_Sg",2
"654","golubu","golub_loc_Sg",2
"655","golubovi","golub_nom_Pl",80
"656","golubova","golub_gen_Pl",46
"657","golubovima","golub_dat_Pl",4
"658","golubove","golub_acc_Pl",34
"659","golubovima","golub_ins_Pl",3
"660","golubovima","golub_loc_Pl",1
"661","gora","gora_nom_Sg",107
"662","gore","gora_gen_Sg",77
"663","gori","gora_dat_Sg",8
"664","goru","gora_acc_Sg",76
"665","gorom","gora_ins_Sg",70
"666","gori","gora_loc_Sg",75
"667","gore","gora_nom_Pl",35
"668","gora","gora_gen_Pl",141
"669","gorama","gora_dat_Pl",2
"670","gore","gora_acc_Pl",62
"671","gorama","gora_ins_Pl",21
"672","gorama","gora_loc_Pl",16
"673","grad","grad_nom_Sg",418
"674","grada","grad_gen_Sg",736
"675","gradu","grad_dat_Sg",44
"676","grad","grad_acc_Sg",322
"677","gradom","grad_ins_Sg",215
"678","gradu","grad_loc_Sg",300
"679","gradovi","grad_nom_Pl",54
"680","gradova","grad_gen_Pl",95
"681","gradovima","grad_dat_Pl",2
"682","gradove","grad_acc_Pl",73
"683","gradovima","grad_ins_Pl",14
"684","gradovima","grad_loc_Pl",61
"685","grana","grana_nom_Sg",177
"686","grane","grana_gen_Sg",97
"687","grani","grana_dat_Sg",6
"688","granu","grana_acc_Sg",89
"689","granom","grana_ins_Sg",40
"690","grani","grana_loc_Sg",96
"691","grane","grana_nom_Pl",204
"692","grana","grana_gen_Pl",183
"693","granama","grana_dat_Pl",4
"694","grane","grana_acc_Pl",217
"695","granama","grana_ins_Pl",32
"696","granama","grana_loc_Pl",91
"697","greben","greben_nom_Sg",1
"698","grebena","greben_gen_Sg",15
"699","grebenu","greben_dat_Sg",1
"700","greben","greben_acc_Sg",5
"701","grebenom","greben_ins_Sg",1
"702","grebenu","greben_loc_Sg",10
"703","grebeni","greben_nom_Pl",5
"704","grebena","greben_gen_Pl",6
"705","grebenima","greben_dat_Pl",2
"706","grebene","greben_acc_Pl",8
"707","grebenima","greben_ins_Pl",1
"708","grebenima","greben_loc_Pl",2
"709","grupa","grupa_nom_Sg",165
"710","grupe","grupa_gen_Sg",105
"711","grupi","grupa_dat_Sg",19
"712","grupu","grupa_acc_Sg",39
"713","grupom","grupa_ins_Sg",12
"714","grupi","grupa_loc_Sg",33
