"","WordForm","LemmaCase","Frequency"
"407","делима","дело_ins_Pl",6
"408","делима","дело_loc_Pl",10
"409","део","део_nom_Sg",289
"410","дела","део_gen_Sg",85
"411","делу","део_dat_Sg",6
"412","део","део_acc_Sg",146
"413","делом","део_ins_Sg",41
"414","делу","део_loc_Sg",144
"415","делови","део_nom_Pl",28
"416","делова","део_gen_Pl",37
"417","деловима","део_dat_Pl",2
"418","делове","део_acc_Pl",31
"419","деловима","део_ins_Pl",13
"420","деловима","део_loc_Pl",26
"421","девојка","девојка_nom_Sg",467
"422","девојке","девојка_gen_Sg",120
"423","девојци","девојка_dat_Sg",47
"424","девојку","девојка_acc_Sg",122
"425","девојком","девојка_ins_Sg",30
"426","девојци","девојка_loc_Sg",13
"427","дјевојке","девојка_nom_Pl",67
"428","дјевојака","девојка_gen_Pl",66
"429","дјевојкама","девојка_dat_Pl",15
"430","девојке","девојка_acc_Pl",45
"431","девојкама","девојка_ins_Pl",7
"432","дјевојкама","девојка_loc_Pl",4
"433","добро","добро_nom_Sg",28
"434","добра","добро_gen_Sg",39
"435","добру","добро_dat_Sg",6
"436","добро","добро_acc_Sg",31
"437","добром","добро_ins_Sg",1
"438","добру","добро_loc_Sg",10
"439","добра","добро_nom_Pl",11
"440","добара","добро_gen_Pl",21
"441","добрима","добро_dat_Pl",1
"442","добра","добро_acc_Pl",5
"443","добрима","добро_ins_Pl",3
"444","добрима","добро_loc_Pl",10
"445","догађај","догађај_nom_Sg",30
"446","догађаја","догађај_gen_Sg",8
"447","догађају","догађај_dat_Sg",2
"448","догађај","догађај_acc_Sg",10
"449","догађајем","догађај_ins_Sg",3
"450","догађају","догађај_loc_Sg",3
"451","догађаји","догађај_nom_Pl",38
"452","догађаја","догађај_gen_Pl",52
"453","догађајима","догађај_dat_Pl",1
"454","догађаје","догађај_acc_Pl",27
"455","догађајима","догађај_ins_Pl",7
"456","догађајима","догађај_loc_Pl",6
"457","долина","долина_nom_Sg",30
"458","долине","долина_gen_Sg",27
"459","долини","долина_dat_Sg",4
"460","долину","долина_acc_Sg",31
"461","долином","долина_ins_Sg",26
"462","долини","долина_loc_Sg",67
"463","долине","долина_nom_Pl",15
"464","долина","долина_gen_Pl",25
"465","долинама","долина_dat_Pl",2
"466","долине","долина_acc_Pl",34
"467","долинама","долина_ins_Pl",8
"468","долинама","долина_loc_Pl",12
"469","дом","дом_nom_Sg",156
"470","дома","дом_gen_Sg",220
"471","дому","дом_dat_Sg",29
"472","дом","дом_acc_Sg",128
"473","домом","дом_ins_Sg",21
"474","дому","дом_loc_Sg",139
"475","домови","дом_nom_Pl",20
"476","домова","дом_gen_Pl",54
"477","домовима","дом_dat_Pl",4
"478","домове","дом_acc_Pl",30
"479","домовима","дом_ins_Pl",2
"480","домовима","дом_loc_Pl",16
"481","држава","држава_nom_Sg",55
"482","државе","држава_gen_Sg",167
"483","држави","држава_dat_Sg",18
"484","државу","држава_acc_Sg",18
"485","државом","држава_ins_Sg",1
"486","држави","држава_loc_Sg",21
"487","државе","држава_nom_Pl",29
"488","држава","држава_gen_Pl",87
"489","државама","држава_dat_Pl",3
"490","државе","држава_acc_Pl",17
"491","државама","држава_ins_Pl",13
"492","државама","држава_loc_Pl",18
"493","друштво","друштво_nom_Sg",138
"494","друштва","друштво_gen_Sg",149
"495","друштву","друштво_dat_Sg",13
"496","друштво","друштво_acc_Sg",26
"497","друштвом","друштво_ins_Sg",9
"498","друштву","друштво_loc_Sg",57
"499","друштва","друштво_nom_Pl",45
"500","друштава","друштво_gen_Pl",76
"501","друштвима","друштво_dat_Pl",6
"502","друштва","друштво_acc_Pl",6
"503","друштвима","друштво_ins_Pl",4
"504","друштвима","друштво_loc_Pl",6
"505","друг","друг_nom_Sg",372
"506","друга","друг_gen_Sg",201
"507","другу","друг_dat_Sg",131
"508","друга","друг_acc_Sg",150
"509","другом","друг_ins_Sg",66
"510","другу","друг_loc_Sg",9
"511","другови","друг_nom_Pl",136
"512","другова","друг_gen_Pl",87
"513","друговима","друг_dat_Pl",36
"514","другове","друг_acc_Pl",60
"515","друговима","друг_ins_Pl",20
"516","друговима","друг_loc_Pl",5
"517","друм","друм_nom_Sg",38
"518","друма","друм_gen_Sg",93
"519","друму","друм_dat_Sg",5
"520","друм","друм_acc_Sg",39
"521","друмом","друм_ins_Sg",101
"522","друму","друм_loc_Sg",83
"523","друмови","друм_nom_Pl",45
"524","друмова","друм_gen_Pl",29
"525","друмовима","друм_dat_Pl",2
"526","друмове","друм_acc_Pl",34
"527","друмовима","друм_ins_Pl",30
"528","друмовима","друм_loc_Pl",31
"529","душа","душа_nom_Sg",387
"530","душе","душа_gen_Sg",284
"531","души","душа_dat_Sg",39
"532","душу","душа_acc_Sg",351
"533","душом","душа_ins_Sg",119
"534","души","душа_loc_Sg",238
"535","душе","душа_nom_Pl",77
"536","душа","душа_gen_Pl",48
"537","душама","душа_dat_Pl",5
"538","душе","душа_acc_Pl",60
"539","душама","душа_ins_Pl",4
"540","душама","душа_loc_Pl",10
"541","дубина","дубина_nom_Sg",20
"542","дубине","дубина_gen_Sg",56
"543","дубини","дубина_dat_Sg",4
"544","дубину","дубина_acc_Sg",54
"545","дубином","дубина_ins_Sg",19
"546","дубини","дубина_loc_Sg",71
"547","дубине","дубина_nom_Pl",11
"548","дубина","дубина_gen_Pl",76
"549","дубинама","дубина_dat_Pl",2
"550","дубине","дубина_acc_Pl",56
"551","дубинама","дубина_ins_Pl",12
"552","дубинама","дубина_loc_Pl",27
"553","екипа","екипа_nom_Sg",84
"554","екипе","екипа_gen_Sg",33
"555","екипи","екипа_dat_Sg",4
"556","екипу","екипа_acc_Sg",26
"557","екипом","екипа_ins_Sg",10
"558","екипи","екипа_loc_Sg",14
"559","екипе","екипа_nom_Pl",34
"560","екипа","екипа_gen_Pl",38
"561","екипама","екипа_dat_Pl",2
"562","екипе","екипа_acc_Pl",5
"563","екипама","екипа_ins_Pl",3
"564","екипама","екипа_loc_Pl",1
"565","фабрика","фабрика_nom_Sg",91
"566","фабрике","фабрика_gen_Sg",87
"567","фабрици","фабрика_dat_Sg",10
"568","фабрику","фабрика_acc_Sg",24
"569","фабриком","фабрика_ins_Sg",7
"570","фабрици","фабрика_loc_Sg",55
"571","фабрике","фабрика_nom_Pl",40
"572","фабрика","фабрика_gen_Pl",51
"573","фабрикама","фабрика_dat_Pl",2
"574","фабрике","фабрика_acc_Pl",21
"575","фабрикама","фабрика_ins_Pl",3
"576","фабрикама","фабрика_loc_Pl",33
"577","фењер","фењер_nom_Sg",14
"578","фењера","фењер_gen_Sg",8
"579","фењеру","фењер_dat_Sg",2
"580","фењер","фењер_acc_Sg",7
"581","фењером","фењер_ins_Sg",7
"582","фењеру","фењер_loc_Sg",1
"583","фењери","фењер_nom_Pl",12
"584","фењера","фењер_gen_Pl",6
"585","фењерима","фењер_dat_Pl",1
"586","фењере","фењер_acc_Pl",6
"587","фењерима","фењер_ins_Pl",2
"588","фењерима","фењер_loc_Pl",1
"589","фонд","фонд_nom_Sg",26
"590","фонда","фонд_gen_Sg",73
"591","фонду","фонд_dat_Sg",3
"592","фонд","фонд_acc_Sg",19
"593","фондом","фонд_ins_Sg",1
"594","фонду","фонд_loc_Sg",3
"595","фондови","фонд_nom_Pl",11
"596","фондова","фонд_gen_Pl",26
"597","фондовима","фонд_dat_Pl",2
"598","фондове","фонд_acc_Pl",13
"599","фондовима","фонд_ins_Pl",2
"600","фондовима","фонд_loc_Pl",1
"601","глас","глас_nom_Sg",467
"602","гласа","глас_gen_Sg",228
"603","гласу","глас_dat_Sg",16
"604","глас","глас_acc_Sg",283
"605","гласом","глас_ins_Sg",163
"606","гласу","глас_loc_Sg",41
"607","гласови","глас_nom_Pl",116
"608","гласова","глас_gen_Pl",106
"609","гласовима","глас_dat_Pl",1
"610","гласове","глас_acc_Pl",83
"611","гласовима","глас_ins_Pl",5
"612","гласовима","глас_loc_Pl",3
"613","глава","глава_nom_Sg",185
"614","главе","глава_gen_Sg",221
"615","глави","глава_dat_Sg",7
"616","главу","глава_acc_Sg",369
"617","главом","глава_ins_Sg",211
"618","глави","глава_loc_Sg",135
"619","главе","глава_nom_Pl",52
"620","глава","глава_gen_Pl",49
"621","главама","глава_dat_Pl",1
"622","главе","глава_acc_Pl",102
"623","главама","глава_ins_Pl",21
"624","главама","глава_loc_Pl",8
"625","гнездо","гнездо_nom_Sg",31
"626","гнезда","гнездо_gen_Sg",37
"627","гн'језду","гнездо_dat_Sg",6
"628","гнездо","гнездо_acc_Sg",66
"629","гнездом","гнездо_ins_Sg",9
"630","гнезду","гнездо_loc_Sg",35
"631","гнезда","гнездо_nom_Pl",25
"632","гнезда","гнездо_gen_Pl",25
"633","гнездима","гнездо_dat_Pl",1
"634","гнезда","гнездо_acc_Pl",55
"635","гнездима","гнездо_ins_Pl",1
"636","гнездима","гнездо_loc_Pl",9
"637","година","година_nom_Sg",116
"638","године","година_gen_Sg",1900
"639","години","година_dat_Sg",2
"640","годину","година_acc_Sg",242
"641","годином","година_ins_Sg",9
"642","години","година_loc_Sg",246
"643","године","година_nom_Pl",224
"644","година","година_gen_Pl",827
"645","годинама","година_dat_Pl",2
"646","године","година_acc_Pl",142
"647","годинама","година_ins_Pl",84
"648","годинама","година_loc_Pl",25
"649","голуб","голуб_nom_Sg",57
"650","голуба","голуб_gen_Sg",12
"651","голубу","голуб_dat_Sg",9
"652","голуба","голуб_acc_Sg",12
"653","голубом","голуб_ins_Sg",2
"654","голубу","голуб_loc_Sg",2
"655","голубови","голуб_nom_Pl",80
"656","голубова","голуб_gen_Pl",46
"657","голубовима","голуб_dat_Pl",4
"658","голубове","голуб_acc_Pl",34
"659","голубовима","голуб_ins_Pl",3
"660","голубовима","голуб_loc_Pl",1
"661","гора","гора_nom_Sg",107
"662","горе","гора_gen_Sg",77
"663","гори","гора_dat_Sg",8
"664","гору","гора_acc_Sg",76
"665","гором","гора_ins_Sg",70
"666","гори","гора_loc_Sg",75
"667","горе","гора_nom_Pl",35
"668","гора","гора_gen_Pl",141
"669","горама","гора_dat_Pl",2
"670","горе","гора_acc_Pl",62
"671","горама","гора_ins_Pl",21
"672","горама","гора_loc_Pl",16
"673","град","град_nom_Sg",418
"674","града","град_gen_Sg",736
"675","граду","град_dat_Sg",44
"676","град","град_acc_Sg",322
"677","градом","град_ins_Sg",215
"678","граду","град_loc_Sg",300
"679","градови","град_nom_Pl",54
"680","градова","град_gen_Pl",95
"681","градовима","град_dat_Pl",2
"682","градове","град_acc_Pl",73
"683","градовима","град_ins_Pl",14
"684","градовима","град_loc_Pl",61
"685","грана","грана_nom_Sg",177
"686","гране","грана_gen_Sg",97
"687","грани","грана_dat_Sg",6
"688","грану","грана_acc_Sg",89
"689","граном","грана_ins_Sg",40
"690","грани","грана_loc_Sg",96
"691","гране","грана_nom_Pl",204
"692","грана","грана_gen_Pl",183
"693","гранама","грана_dat_Pl",4
"694","гране","грана_acc_Pl",217
"695","гранама","грана_ins_Pl",32
"696","гранама","грана_loc_Pl",91
"697","гребен","гребен_nom_Sg",1
"698","гребена","гребен_gen_Sg",15
"699","гребену","гребен_dat_Sg",1
"700","гребен","гребен_acc_Sg",5
"701","гребеном","гребен_ins_Sg",1
"702","гребену","гребен_loc_Sg",10
"703","гребени","гребен_nom_Pl",5
"704","гребена","гребен_gen_Pl",6
"705","гребенима","гребен_dat_Pl",2
"706","гребене","гребен_acc_Pl",8
"707","гребенима","гребен_ins_Pl",1
"708","гребенима","гребен_loc_Pl",2
"709","група","група_nom_Sg",165
"710","групе","група_gen_Sg",105
"711","групи","група_dat_Sg",19
"712","групу","група_acc_Sg",39
"713","групом","група_ins_Sg",12
"714","групи","група_loc_Sg",33
"715","групе","група_nom_Pl",57
"716","група","група_gen_Pl",45
"717","групама","група_dat_Pl",2
"718","групе","група_acc_Pl",26
"719","групама","група_ins_Pl",4
"720","групама","група_loc_Pl",14
"721","игра","игра_nom_Sg",177
"722","игре","игра_gen_Sg",170
"723","игри","игра_dat_Sg",10
"724","игру","игра_acc_Sg",205
"725","игром","игра_ins_Sg",47
"726","игри","игра_loc_Sg",65
"727","игре","игра_nom_Pl",135
"728","игара","игра_gen_Pl",51
"729","играма","игра_dat_Pl",3
"730","игре","игра_acc_Pl",42
